Seed,Algorithm,dataset,time,train_f1,val_f1,acc,val_acc,bin_acc,val_bin_acc,train_loss,val_loss
0,Shallow,Easy,0:00:02.589088,0.6729612320860796,0.6865568606908085,0.7669531996748851,0.778625953743476,0.7669531996748851,0.7669531996748851,0.5167254423002118,0.49007697232806957
0,Deep,Easy,0:00:04.986363,0.5343857859016717,0.6741456730675152,0.6571155685749983,0.7022900758808805,0.6571155685749983,0.6571155685749983,3.686558628947596,3.1085248102668586
0,LSTM,Easy,0:00:06.519046,0.767138332897066,0.6956473438794376,0.8213944599644388,0.755725191294692,0.8213944599644388,0.8213944599644388,0.46264876603169336,0.5759941473716997
0,RNN,Easy,0:00:03.603714,0.7708722471393851,0.7016026673426154,0.8347659974635615,0.7862595415297355,0.8347659974635615,0.8347659974635615,0.40827298198525064,0.4357577523657384
0,CNN,Easy,0:00:10.185778,0.7459067622023531,0.7261750688989654,0.8233046800951334,0.7900763354228653,0.8233046800951334,0.8233046800951334,0.3895681338756565,0.46424342635023685
0,Shallow,Big,0:00:48.362337,0.3349500505999949,0.36036539868552947,0.9987861399249613,0.9991573329588147,0.9987861399249613,0.9987861399249613,0.012657485670747625,0.010311646810792541
0,Deep,Big,0:01:25.627610,0.18774723590959436,0.25515776447450483,0.9976876467165586,0.9989934810341398,0.9976876467165586,0.9976876467165586,0.035954988315036907,0.015649258386745597
0,CNN,Big,0:10:58.563532,0.5774094279721624,0.42553878646133925,0.9998445055275776,0.9992509626300574,0.9998445055275776,0.9998445055275776,0.0006258825477026687,0.005573438743884318
0,LSTM,Big,0:02:00.442813,0.4899409369842976,0.4255530526781652,0.0023725446919154,0.00727970693912901,0.0023725446919154,0.0023725446919154,0.006709415785809451,0.00820622604670473
0,RNN,Big,0:00:54.063214,0.4609125021413309,0.41434364831831416,0.99949840492767,0.9994733330992591,0.99949840492767,0.99949840492767,0.0027924244358889403,0.002912191508609103
0,Shallow,Text,0:00:02.546238,0.3149692030326091,0.0,0.49758842545945803,0.505625,0.49758842545945803,0.49758842545945803,0.7114146224683249,0.7037219429016113
0,Deep,Text,0:00:03.858325,0.414864262168686,0.0,0.505493033353922,0.505625,0.505493033353922,0.505493033353922,7.16855358745252,7.860437622070313
0,LSTM,Text,0:00:48.538725,0.963455636209997,0.7501740980148316,0.6132100738768664,0.5196875,0.6132100738768664,0.6132100738768664,0.12988740434153415,1.7751229429244995
0,RNN,Text,0:00:14.775871,0.9947854185922097,0.4793924975395203,0.9947749191030685,0.5115625,0.9947749191030685,0.9947749191030685,0.04711759611485089,1.1584024238586426
0,CNN,Text,0:00:15.480400,0.16752831698550033,0.12426244705915451,0.5065648445873526,0.5009375,0.5065648445873526,0.5065648445873526,7.936470059336574,8.02947853088379
0,Shallow,Image,0:00:52.809455,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.5670054942369461,0.5829092586040496
0,Deep,Image,0:00:50.620815,0.0,0.0,0.775000003973643,0.7349999976158142,0.775000003973643,0.775000003973643,0.5876960595448811,0.6010423016548156
0,CNN,Image,0:00:58.805162,0.8446198970079422,0.8120775049924851,0.9416666607062022,0.9249999916553497,0.9416666607062022,0.9416666607062022,0.23162463530898095,0.253548289835453
0,LSTM,Image,0:00:53.721184,0.0,0.0,0.0,0.0,0.0,0.0,3.5728444894154867,4.271295323371887
0,RNN,Image,0:00:50.170595,0.0,0.0,0.7783333381017049,0.7349999976158142,0.7783333381017049,0.7783333381017049,0.5577924519777298,0.5936625146865845
0,Shallow,TimeSeries,0:00:03.124097,0.0,0.0,0.7973154337614174,0.7995824532618353,0.7973154337614174,0.7973154337614174,0.5520322020955267,0.5412766515337599
0,Deep,TimeSeries,0:00:04.644265,0.0,0.0,0.7973154337614174,0.7995824532618353,0.7973154337614174,0.7973154337614174,0.43427113861312266,0.3996545053971834
0,CNN,TimeSeries,0:00:03.486618,0.0,0.0,0.0,0.0,0.0,0.0,3.32034265968333,3.1190877998224362
0,LSTM,TimeSeries,0:00:05.153749,0.45061531207831623,0.47322299664988177,0.8428123591461899,0.8441422589154423,0.8428123591461899,0.8428123591461899,0.3459573045900142,0.3912502896336831
0,RNN,TimeSeries,0:00:03.858212,0.5224517499498332,0.4955141409670459,0.854455886883315,0.8420502206770446,0.854455886883315,0.854455886883315,0.35258995424297107,0.3919988319464807
1,Shallow,Easy,0:00:05.251021,0.603722518841881,0.6409699894089735,0.7230181467453412,0.7786259541984732,0.7230181467453412,0.7230181467453412,0.5477549047160399,0.5037983932340419
1,Deep,Easy,0:00:08.348547,0.4527498664692002,0.0,0.638013370968437,0.6755725186289722,0.638013370968437,0.638013370968437,2.206370427080189,2.490325980059063
1,LSTM,Easy,0:00:10.322261,0.7668002077592706,0.679505227631285,0.8156638011663668,0.7900763358778626,0.8156638011663668,0.8156638011663668,0.42661762448186064,0.49436048037223235
1,RNN,Easy,0:00:06.759073,0.7451152558996206,0.7041360690393521,0.8185291309069768,0.8244274809160306,0.8185291309069768,0.8185291309069768,0.40759857193902205,0.42637370970412974
1,CNN,Easy,0:00:13.411241,0.7593672947305208,0.6607748351934302,0.8261700098357433,0.8206106865679035,0.8261700098357433,0.8261700098357433,0.40081148713457093,0.43530256591225397
1,Shallow,Big,0:01:05.101127,0.27392755928880697,0.2648595782233614,0.9987660761220681,0.9990168884519505,0.9987660761220681,0.9987660761220681,0.016355644205623077,0.013694712449165071
